,00_type_model,0_auc,0_precision,0_recall,1_normalisation,1_SMOT,1_fold,2_solver,3_activation,3_hiddenlayer,3_alpha,4_beta1ADAM,4_beta2ADAM,4_epsilonADAM
0,MLP_Classifier,0.4993,0.0,0.0,YES,NO,3,lbfgs,relu,20,0.2,NaN,NaN,NaN
0,MLP_Classifier,0.5209,0.0656,0.6591,YES,YES,3,lbfgs,relu,20,0.2,NaN,NaN,NaN
0,MLP_Classifier,0.5032,0.2,0.0095,YES,NO,4,lbfgs,relu,20,0.2,NaN,NaN,NaN
0,MLP_Classifier,0.4983,0.0733,0.6095,YES,YES,4,lbfgs,relu,20,0.2,NaN,NaN,NaN
0,MLP_Classifier,0.4981,0.0,0.0,YES,NO,1,lbfgs,relu,50,0.1,NaN,NaN,NaN
0,MLP_Classifier,0.4741,0.0607,0.5638,YES,YES,1,lbfgs,relu,50,0.1,NaN,NaN,NaN
0,MLP_Classifier,0.4993,0.0,0.0,YES,NO,2,lbfgs,relu,50,0.1,NaN,NaN,NaN
0,MLP_Classifier,0.479,0.0556,0.5412,YES,YES,2,lbfgs,relu,50,0.1,NaN,NaN,NaN
0,MLP_Classifier,0.4993,0.0,0.0,YES,NO,3,lbfgs,relu,50,0.1,NaN,NaN,NaN
0,MLP_Classifier,0.5201,0.0655,0.6591,YES,YES,3,lbfgs,relu,50,0.1,NaN,NaN,NaN
0,MLP_Classifier,0.5032,0.2,0.0095,YES,NO,4,lbfgs,relu,50,0.1,NaN,NaN,NaN
0,MLP_Classifier,0.5049,0.0747,0.6476,YES,YES,4,lbfgs,relu,50,0.1,NaN,NaN,NaN
0,MLP_Classifier,0.4974,0.0,0.0,YES,NO,1,lbfgs,relu,50,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.4749,0.0608,0.5638,YES,YES,1,lbfgs,relu,50,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.4993,0.0,0.0,YES,NO,2,lbfgs,relu,50,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.4779,0.0554,0.5412,YES,YES,2,lbfgs,relu,50,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.4974,0.0,0.0,YES,NO,3,lbfgs,relu,50,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.5209,0.0656,0.6591,YES,YES,3,lbfgs,relu,50,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.5029,0.1667,0.0095,YES,NO,4,lbfgs,relu,50,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.5045,0.0746,0.6476,YES,YES,4,lbfgs,relu,50,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.4981,0.0,0.0,YES,NO,1,lbfgs,relu,50,0.2,NaN,NaN,NaN
0,MLP_Classifier,0.4752,0.0609,0.5638,YES,YES,1,lbfgs,relu,50,0.2,NaN,NaN,NaN
0,MLP_Classifier,0.4993,0.0,0.0,YES,NO,2,lbfgs,relu,50,0.2,NaN,NaN,NaN
0,MLP_Classifier,0.479,0.0556,0.5412,YES,YES,2,lbfgs,relu,50,0.2,NaN,NaN,NaN
0,MLP_Classifier,0.4985,0.0,0.0,YES,NO,3,lbfgs,relu,50,0.2,NaN,NaN,NaN
0,MLP_Classifier,0.5209,0.0656,0.6591,YES,YES,3,lbfgs,relu,50,0.2,NaN,NaN,NaN
0,MLP_Classifier,0.5032,0.2,0.0095,YES,NO,4,lbfgs,relu,50,0.2,NaN,NaN,NaN
0,MLP_Classifier,0.5049,0.0747,0.6476,YES,YES,4,lbfgs,relu,50,0.2,NaN,NaN,NaN
0,MLP_Classifier,0.5,0.0,0.0,YES,NO,1,lbfgs,identity,10,0.1,NaN,NaN,NaN
0,MLP_Classifier,0.4913,0.064,0.5532,YES,YES,1,lbfgs,identity,10,0.1,NaN,NaN,NaN
0,MLP_Classifier,0.5,0.0,0.0,YES,NO,2,lbfgs,identity,10,0.1,NaN,NaN,NaN
0,MLP_Classifier,0.5373,0.0664,0.6824,YES,YES,2,lbfgs,identity,10,0.1,NaN,NaN,NaN
0,MLP_Classifier,0.5,0.0,0.0,YES,NO,3,lbfgs,identity,10,0.1,NaN,NaN,NaN
0,MLP_Classifier,0.5378,0.0689,0.6818,YES,YES,3,lbfgs,identity,10,0.1,NaN,NaN,NaN
0,MLP_Classifier,0.5,0.0,0.0,YES,NO,4,lbfgs,identity,10,0.1,NaN,NaN,NaN
0,MLP_Classifier,0.4985,0.0733,0.5524,YES,YES,4,lbfgs,identity,10,0.1,NaN,NaN,NaN
0,MLP_Classifier,0.5,0.0,0.0,YES,NO,1,lbfgs,identity,10,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.4913,0.064,0.5532,YES,YES,1,lbfgs,identity,10,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.5,0.0,0.0,YES,NO,2,lbfgs,identity,10,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.5373,0.0664,0.6824,YES,YES,2,lbfgs,identity,10,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.5,0.0,0.0,YES,NO,3,lbfgs,identity,10,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.5378,0.0689,0.6818,YES,YES,3,lbfgs,identity,10,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.5,0.0,0.0,YES,NO,4,lbfgs,identity,10,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.4985,0.0733,0.5524,YES,YES,4,lbfgs,identity,10,0.01,NaN,NaN,NaN
